Region,Workload,Filename,Total Connection Time,Time to First Byte,Download Time,Total Time
India,WEB,sample.json,0:00:00.001254,0:00:00.001283,0:00:03.485975,0:00:03.487258
India,WEB,sample.pdf,0:00:00.006641,0:00:00.006718,0:00:03.573111,0:00:03.579829
India,WEB,sample.jpg,0:00:00.000856,0:00:00.000921,0:00:03.487361,0:00:03.488282
India,WEB,sample.jpg,0:00:00.001203,0:00:00.001254,0:00:03.471985,0:00:03.473239
India,WEB,sample.csv,0:00:00.000862,0:00:00.000910,0:00:03.565301,0:00:03.566211
India,WEB,sample.jpg,0:00:00.002328,0:00:00.002640,0:00:03.830954,0:00:03.833594
India,WEB,sample.json,0:00:00.000990,0:00:00.001018,0:00:03.614865,0:00:03.615883
India,WEB,index.html,0:00:00.000662,0:00:00.000690,0:00:00.006307,0:00:00.006997
India,WEB,sample.png,0:00:00.001193,0:00:00.001220,0:00:03.464685,0:00:03.465905
India,WEB,sample.json,0:00:00.000990,0:00:00.001017,0:00:00.003243,0:00:00.004260
India,WEB,sample.csv,0:00:00.001082,0:00:00.001108,0:00:00.007266,0:00:00.008374
India,WEB,sample.jpg,0:00:00.002935,0:00:00.003002,0:00:03.649095,0:00:03.652097
India,WEB,sample.json,0:00:00.001230,0:00:00.001293,0:00:00.005240,0:00:00.006533
India,WEB,sample.json,0:00:00.000819,0:00:00.000851,0:00:03.634269,0:00:03.635120
India,WEB,sample.png,0:00:00.001225,0:00:00.001302,0:00:03.387830,0:00:03.389132
India,WEB,index.html,0:00:00.000884,0:00:00.000957,0:00:00.004126,0:00:00.005083
India,WEB,sample.jpg,0:00:00.001155,0:00:00.001212,0:00:03.521309,0:00:03.522521
India,WEB,sample.jpg,0:00:00.000777,0:00:00.000844,0:00:03.433069,0:00:03.433913
India,WEB,index.html,0:00:00.000744,0:00:00.000787,0:00:03.440843,0:00:03.441630
India,WEB,sample.pdf,0:00:00.000856,0:00:00.000936,0:00:00.004825,0:00:00.005761
India,WEB,sample.csv,0:00:00.001583,0:00:00.001748,0:00:03.502649,0:00:03.504397
India,WEB,sample.jpg,0:00:00.001313,0:00:00.001451,0:00:03.489836,0:00:03.491287
India,WEB,sample.pdf,0:00:00.000819,0:00:00.000892,0:00:00.002709,0:00:00.003601
India,WEB,index.html,0:00:00.001201,0:00:00.001249,0:00:03.478118,0:00:03.479367
India,WEB,sample.pdf,0:00:00.000911,0:00:00.000961,0:00:02.085978,0:00:02.086939
India,WEB,sample.png,0:00:00.001068,0:00:00.001122,0:00:03.753233,0:00:03.754355
